City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,homer,59.6425,-151.5483,5.94,77,100,2.06,US,1715485036
325,nema,57.5067,50.5011,1.05,79,25,4.51,RU,1715485036
326,coremas,-7.0144,-37.9458,23.16,66,65,0.61,BR,1715485036
327,bikenibeu village,1.3673,173.1241,29.98,74,75,3.09,KI,1715485036
328,velez,6.0134,-73.6735,14.07,97,100,1.05,CO,1715485037
329,itoman,26.1247,127.6694,30.43,78,75,5.14,JP,1715484900
330,rabo de peixe,37.8,-25.5833,17.77,99,75,1.03,PT,1715485037
331,tabou,4.423,-7.3528,27.07,87,96,2.64,CI,1715484926
332,pacasmayo,-7.4006,-79.5714,18.63,87,100,5.08,PE,1715484740
333,igarape miri,-1.975,-48.9597,23.52,99,100,2.03,BR,1715484798
334,shubarkuduk,49.1447,56.4872,17.43,50,100,7.72,KZ,1715485037
335,oroqen zizhiqi,50.5667,123.7167,14.89,33,31,5.24,CN,1715485038
336,hasaki,35.7333,140.8333,25.17,71,100,11.39,JP,1715485038
337,singkil,-7.9855,111.4161,31.19,65,34,0.24,ID,1715485038
338,santa ana,33.7456,-117.8678,19.59,83,75,4.12,US,1715485038
339,san antonio de pale,-1.4014,5.6325,26.53,87,94,2.99,GQ,1715485038
340,tongliao,43.6125,122.2653,20.38,25,5,4.13,CN,1715485039
341,queenstown,-31.8976,26.8753,10.18,76,98,1.15,ZA,1715485039
342,kyakhta,50.3508,106.4494,22.3,23,99,4.46,RU,1715485039
343,bang mun nak,16.0278,100.3792,34.41,64,88,1.59,TH,1715485039
344,barrouallie,13.2333,-61.2667,26.52,79,45,5.08,VC,1715485039
345,mukharram al fawqani,34.8151,37.0861,14.96,81,45,8.95,SY,1715485039
346,tot'ma,59.9747,42.7642,-1.56,88,100,3.65,RU,1715485039
347,taos,36.4072,-105.5731,7.47,88,97,2.06,US,1715485040
348,druskininkai,54.0167,23.9667,2.25,69,1,2.35,LT,1715485040
349,sitangkai,4.6628,119.3928,28.95,75,86,1.87,PH,1715485040
350,pucon,-39.2822,-71.9543,4.22,93,70,2.23,CL,1715485040
351,villanueva,15.3167,-88.0,30.55,74,40,2.57,HN,1715484999
352,aldama,22.9167,-98.0667,26.0,92,52,0.44,MX,1715485040
353,ciudad sabinas hidalgo,26.5,-100.1667,27.13,77,77,2.14,MX,1715485041
354,prince rupert,54.3161,-130.3201,9.83,81,0,4.12,CA,1715485041
355,kimbe,-5.5502,150.1429,30.77,74,83,1.71,PG,1715485041
356,yandev,7.3667,9.05,24.73,87,100,2.55,NG,1715485041
357,bridgewater,44.3835,-64.5155,5.82,87,93,1.54,CA,1715485041
358,whangarei,-35.7317,174.3239,14.3,68,56,0.36,NZ,1715485041
359,ola,59.5833,151.2833,0.63,86,100,2.97,RU,1715485042
360,manta,-0.95,-80.7333,26.88,83,75,1.54,EC,1715485042
